,content,class,pred_class
63,Waste of time totaly bad experience that's why i still not download,negative,negative
64,App not installed,negative,neutral
65,My videos drop fps and loose quality,neutral,negative
66,Experiencing shadow ban trying to get out of it tried all means but it not making my content public 😞,negative,positive
67,I HATE TIK TOK,negative,negative
68,Good 👍,positive,positive
69,Tnx,positive,negative
70,Im a tik tokr pliz saport me🥀🥀🥀,positive,positive
71,It's cool,neutral,positive
72,Bal paknagula k ban kore den abr eshe 5 star diye jabu.....,negative,negative
73,Very bad and useless 😑,negative,negative
74,Love it 😀 😍,positive,positive
75,Adeelking7866 fou you have any other ideas for the kids to the park and ride at the park and ride at the park and ride at the park and ride to the airport on I don't think we need the following weekend and suggestions and suggestions and suggestions to improve your the one and suggestions and ride to improve my English and Spanish is it ok for the kids for it but I'm ok for the park with to the kids for Christmas but it but it but it but it is it ok for it and I can have the money in bbb it is n,positive,positive
76,My video viral link akhasislam425,neutral,positive
77,Shimul,positive,neutral
78,"I HAVE BEEN PERM BANNED 5 TIMES BECAUSE IM UNDERAGE, IM 14 DAMNIT IM SICK OF THIS BULLSHET!!!!!!!!!",negative,negative
79,All I am seeing on this application lately is divisive nasty content against the Christian community and white people.,negative,negative
80,Great app,positive,positive
81,Joulie,negative,positive
82,I want money 🥴🥴🥴🥴💩💩💩🙏🙏🙏🧟‍♂️🧟‍♀️🧟🧟‍♀️🧟‍♂️🧞‍♂️🧞‍♂️🧞‍♂️,negative,positive
83,I deleted it tik tok I have no use for it anymore,negative,negative
84,love you tik tok,positive,positive
85,Is cool,neutral,positive
86,"I recently changed to a Samsung device and for some reason I can't save any videos to favorites, the option is just not there, it doesn't save some of my likes and it's getting annoying, I don't know what to do since I lost all of the favorited videos I had saved on my other device (Huawei)",negative,negative
87,nice app,positive,positive
88,That's good to me and my mom is going to be a good day at work and I don't know what I want to be a good day and night and I don't know,positive,neutral
89,🥰🥰🥰🤲🥰,negative,positive
90,Allow us to do weapon make video 🥱,positive,positive
91,OK,negative,neutral
92,Joss app,positive,positive
93,Nice app,positive,positive
94,Spend hours on here,positive,positive
95,Keep on changing my username and won't let me post,negative,negative
96,"I Definitely like the idea of this app it is definitely my go to app when I have nothing else to do, the only thing though is that this app is a little too addicting I have to put a timer on this app and that works. I am giving it 3 stars because it is great just too great.",neutral,neutral
97,"I have reported a fake account, pretending to be me. Yet no response.",negative,negative
98,Tik Tok has been taken over by either Russian bots or trumpsters. I have registered my complaint but no action.,neutral,negative
99,Me viral please (@shohagbi1),negative,positive
100,I give it 2stars because i cant search stickers,negative,negative
101,A app a good app,negative,positive
102,Really over rated but I use this too bully currys and watch my favorite yters so 3/5,neutral,neutral
103,Great app,positive,positive
104,I'M SO CONFUSED I CAN'T TEXT PEOPLE ON THERE!!,negative,positive
105,It's soo bad 😭😭😭 Im 26 and it says_ (you are to yang) 😡🤬😡🤬😡,negative,negative
106,Baler app,negative,negative
107,It is my state's,positive,positive
108,My account is not working and my comentes not coming plz help me I am interested in tik tok and love tik tok,positive,negative
109,Good apps,positive,positive
110,Love love TikTok,positive,positive
111,The best social media app after Facebook,negative,negative
112,Should be more explicit,neutral,neutral
113,I love this app tihs app is very good app i like the app,positive,positive
114,Mind,negative,negative
115,Best app,positive,positive
116,Nice to be here,positive,positive
117,What is with pushing all the celebrities now?,negative,negative
118,Love you tiktok plese virl my all videos,positive,negative
119,The app use to be fun. To an extent. The stuff tiktok allows vs what they dont is definitely a bit backwards. Worst of all is the support team. In the app good luck with a decent response time and trying to a tually get anyone thru email is a joke.,negative,negative
120,Not helpful 🤬😡🤬😡😡🤬🤬🤬😡😡🤬,negative,negative
121,"This app is so homophobic,misogynistic, and racist. It's honestly annoying",neutral,negative
122,I love😍 this app,positive,positive
123,My channel is about toys but every time I go live and talk about toys I get banned for hateful behavior and good luck trying to get support,negative,negative
124,Have to torture thru 10 videos to find one that's entertaining. The algorithm can't be very good.,negative,negative
125,It's very good app,positive,negative
126,SufyanAli,negative,negative
127,Ewww so bad like beter 😂 lmao,negative,negative
128,Not uploading my videos,negative,negative
129,It doesnt work in iran. Peace of crab,negative,negative
130,No thank you,negative,positive
131,Ayanshaikh,negative,positive
132,As,negative,positive
133,This app took down my video for no reason even though they can't take the time to acknowledge that there are bigger problems on this app they don't take down the videos of girls twerking,negative,negative
134,very good app in interesting app like follow,positive,positive
135,Not yet,positive,positive
136,Nice app,positive,positive
137,It's really good 😊,positive,positive
138,New update is worst I have an active internet connection but still it says connect to the network.......,negative,negative
139,This app is so nice,positive,positive
140,Nyc,positive,neutral
141,Wow,positive,positive
142,Its a good app but ppl suck lmao,positive,negative
143,Excellent,positive,positive
144,Its a nice app and it make people to smil😂😂,negative,positive
145,COCK AND BALL TORTURE,positive,negative
146,He give me follwer soole,positive,positive
147,Pk,negative,negative
148,I love it,positive,positive
149,Nice,neutral,positive
150,Hiting ishu,negative,negative
151,It just Soo fun,positive,positive
152,It's amazing,positive,positive
153,I love this APP,positive,positive
154,"This app is alr(alright) just like You banned my account for NO reason. You take down my video for ""nudity"" I WAS FULLY DRESSED AND SO WAS MY BESTFRIEND, NO ONE ELSE WAS IN IT. Yall are alright mkay but your logic is way over the top confusing.",neutral,neutral
155,"Good app,",positive,positive
156,Happy,positive,positive
157,"Recently when I was trying to favorite a video, it no longer allows me to. It's really annoying. Please fix it.",negative,negative
158,Good 👍,negative,positive
159,So nice,positive,positive
160,It's nice,negative,positive
161,Nice Apps,positive,positive
162,Love it do more,positive,positive
163,Very good app,negative,positive
164,Tik tok what have u do,negative,negative
165,very helpfull app,negative,positive
166,My FY is with a big problem.,negative,negative
167,It is very good app,positive,negative
168,Amazing Street,positive,positive
169,Good app,positive,positive
170,This is the best app ever I am famous because of TikTok so I give it 5 stars😇😊☺️🤩,positive,positive
171,good apps,positive,negative
172,The worst app I have ever used full of hypocrites 💀,negative,negative
173,The app is fine but why don't I have the messaging option?!,positive,neutral
174,Love,positive,positive
175,That's good,positive,positive
176,It's the best ever 😭😘,positive,positive
177,Good,positive,positive
178,I'm love tik tok hir today😩❤,positive,positive
179,Very best,positive,positive
180,It's very amazing and good aap wow 😍,negative,negative
181,নাইছ,positive,negative
182,This app is perfect but I hate it when we get banned its not cool bc we had everything there:(,positive,negative
183,Best,positive,positive
184,Sir I have 21.2k followers and I am posting my best video but the views 50 ore 100 are not coming more than ten and none of my videos are going viral please fix it,negative,negative
185,Sohail Khan Malik,negative,positive
186,Manisha Bisowkarma,negative,positive
187,Just good,neutral,positive
188,"Overall, pretty good app. You can upload just about whatever and send videos to your friends, I just have one major flaw. WHY IS THERE NO DARK MODE ON ANDROID???? Please fix this",neutral,neutral
189,High,negative,positive
190,It's a fun app,positive,positive
191,Thanks again,neutral,negative
192,great apps Tiktok,positive,positive
193,Love the different content,positive,neutral
194,Great app,positive,positive
195,It has everything,positive,positive
196,"The app is thee best....there are funny video, there pranks and you can even make a video of your own and get followers or likes. I deleted it and now I am trying to download it again coz a miss the app but it don't want to",positive,neutral
197,Malik Dil Ameer,positive,positive
198,Good but can be better,neutral,positive
199,My videos is not going to viral,negative,negative
200,Bing bong!,positive,positive
201,"It’s a better app. If you want,you can learn good thing from it.It contains by mang sides like that educational, musical, entertainment, discovery and technological. Everyone how to leading their daily life that's also we're noticing.",negative,positive
202,Nice app plz viral my all vedio 😭😭,positive,neutral
203,"I like it but there are some concerns I have. There are inappropriate content. And I'm sure that people don't like to see OR hear that. Tiktok, please take any inappropriate videos off of the app. And the hate! Everyone hates on others. It's horrible! Some thing that people have said to others are: ""you are ugly"" ""you will NEVER be famous!"" ""That's discusting! Don't show _____ or _____ on tiktok!"" Please, do something to make all of those hate comments into complements.",neutral,negative
204,Very great app,positive,positive
205,There is the problem of template,neutral,negative
206,App keeps shutting down The app is at it's most recent update and it keeps shutting down after watching 1-2 vids. This usually happens after every update and it's getting out of hand,neutral,negative
207,Qasim Daef,positive,negative
208,It is a fun way to show off your true talents and is a fun app to see what your friends are up to and the new updates are just *chef's kiss* truly incredible😄,positive,positive
209,The update is trash,negative,negative
210,My step moms always uses this crazy dam app wrost app ever vera sucks,negative,negative
211,Excellent,positive,positive
212,Good,neutral,positive
213,Tik tok help my my name anitbmw in tiktok my followes 4200befor after4100,negative,negative
214,Good sir,negative,positive
215,I dislike the new update on tik tok i just figured out how to use it well and now its changed.,neutral,negative
216,My video is not going to for you feed I'd freezed @moodchanger15,negative,negative
217,Nice app,positive,positive
218,Hjk,negative,neutral
219,Awien,negative,negative
220,Discusting app. i didnt found that coral and blue ocean filter. Everyone is making their videos under these filters and in my effects these filters even did not exsist.,negative,negative
221,Tiktok is my most favourite platform.🙂 But can't viral my any video. Please viral my video 🥺🥺,negative,positive
222,Skah,negative,neutral
223,I love this app so much,positive,negative
224,Good,neutral,positive
225,This aplication is very bad😡,negative,neutral
226,Bru it's trash,negative,negative
227,I love this app. But why are you making it where people can see if you view there profile. Please delete it.,negative,neutral
228,1and q,negative,negative
229,The worst app ever تطبيق أغلبه قلة ادب وعرض للفواحش,negative,negative
230,Where are favorites now? You have deleted it?,negative,negative
231,Everything keeps changing and now it's basically turning into snapchat how we able to post photos and take pics not it's supposed to be for fun short vids I don't like the new tiktok,negative,negative
232,love,positive,positive
233,Good luck,neutral,positive
234,Mujra app,negative,negative
235,"Amo esta app pero ah tenido algunos errores por manejar,borrar videos sin ninguna razon o vjdeos no borrados MUY SEXUALISADOS",neutral,neutral
236,"Racist, controlling, discrimination neck deep, pro level mind control garbage. KEEP YOUR KIDS OFF FOR SURE.a training tool via THE ALGORITHM they use to trick people into totalitarianism and socialism. If the agenda doesn't suit WHAT THEY LIKE or is honest yet against the norm. They just block everyone. No good. Skip it. Hell to the no.",negative,negative
237,There block 😒,negative,positive
238,Nice,positive,positive
239,Ok this is I great app 👍 the reason why I think this is because peaple can get there creativity and talents out there into to the public and with that get constructive feedback. It's also great for peaple who are launching a tiny businesses,negative,positive
240,joss tiktok apps,positive,negative
241,All the crazy stuff on TikTok but I get banned haha ridiculous 1 star for you relax,negative,negative
242,❤️❤️❤️,negative,positive
243,Incredible App🙂💯,positive,positive
244,Nice,negative,positive
245,Nice app,positive,positive
246,Ehebb,neutral,negative
247,Its a good app but... I don't like they are some people are showing how they pee some times they do Disgusting things they show there but I don't like but this is a good app and what I don't like young people are downloading it but its actually for 13 yrs old but its a good app I really like it but I hope you change it thank you and yea 😊 its a good app And what I don't like people are mean swearing for no reason so that's what I don't like too and yea so hope it gets better and better and ty,neutral,neutral
248,♥️❤️,positive,positive
249,"Dms dont work, cant go live, pronouns thing doesnt work and i cant change settings because tiktok chose this for me. I want to make my own desicions. Please fix this thank you.",neutral,negative
250,"MOSTLY CRINGE, GET AWAY FROM THIS APP",negative,negative
251,I likeur tik tok becouse l have tik to k sheus anders l love It,positive,positive
252,That so good😍,negative,positive
253,Bilawal,positive,neutral
254,hi tiktok team im new user plz viral my account,positive,positive
255,Customer service is a joke. You know what would be great. If you would fix it so I could pay to promote a video.,neutral,negative
256,Takes down videos for no reason,positive,negative
257,Tompa Das.,negative,negative
258,It's a great and amazing App y'all u never get bored with it,positive,positive
259,Enjoy tik tok for you page support tik tok,negative,positive
260,Good,positive,positive
261,I love TikTok ❤️❤️❤️❤️👍,positive,positive
262,"In app purchase 3.59 to 959.99 that is today wrong information in the biggest item is on 959.99 then send me link to buy, I am talking about expensive gifts it's about 1200",negative,negative
263,Tik tak very well done 👏,positive,positive
264,CCP spyware,negative,negative
265,yeyy,positive,positive
266,All you ok,neutral,negative
267,SEPU ✌,negative,negative
268,Wow,negative,positive
269,This is a realy cool app love it u can make as much videos as you want❤💕😘,neutral,positive
270,The app is making me put my birthday in every time I open it. Is there any way to get this fixed?,negative,negative
271,🙄🙄🙄🙄🙄,positive,positive
272,"This application is so light and smooth, videos load so fast and it has a unique sound.i recommend it for everyone to download it.much love🔥🤏🙏",negative,neutral
273,I love it,positive,positive
274,I like this app but after 1 1 month it was banded me,neutral,negative
275,Watch video,negative,positive
276,"I LOVE this App. This App is really good to watch/use/do videos when you are bored, and really good to catch ideas for stuff. I recommend this App for you all because, you can create videos, when you are bored you can scroll through videos, and make stories with the new update! Although, I don't really like the rule ""You can only go live with more than 1000 followers"" That isn't really a good rule, because I will only hit 1000 like in a while, and I really want to go live. <33",positive,positive
277,Good,negative,positive
278,Please my tik tik,positive,negative
279,Acha,negative,neutral
280,Haram Haram Haram,negative,negative
281,♡,positive,positive
282,"Ever since I upgraded from the s20 to the s22 I no longer have the add to favorites option for videos. I can favorite sounds, comments, and everything else but not videos. Very frustrating since I has a lot saved and now they are all gone. I tried sending in a report but they never got back to me.",negative,negative
283,Nine app,positive,positive
284,This is best app my video not vaira so,negative,positive
285,Great app❤️,positive,positive
286,Please viral account,negative,positive
287,"Prepara the way masihi is caming, shalom",negative,positive
288,Hello tik tok,positive,negative
289,For you,positive,negative
290,نااااار 🔥 تطبيق روع,positive,positive
291,Good app,positive,positive
292,Good apps,negative,positive
293,Ranjitvai44,positive,negative
294,I hate you tik tok,negative,negative
295,Wow,positive,positive
296,When i join live streams they pause and dint continue playing the live stream.,negative,negative
297,"Entertaining, except that not everyone can go on live :(",neutral,positive
298,It's so bad 👎,negative,negative
299,This app is horrible and racist took my page and banned me for life because of a hater but it's all good,negative,negative
300,ভাই ভালো তো আচ্ছেন হুম ভাই,positive,negative
301,Great,positive,positive
302,Slow to download,negative,negative
303,It's giving me Entertainment,positive,positive
304,I hate this app it banned me 5 times can u let me why? I hate u i will tell all my friends to delete this stupid app🤒🤒🤒🤒🤒🤢,negative,negative
305,Vary nice app 🤩🤩😍😍😍😍😍😍,positive,negative
306,Funny videos but they block you for the most trivial things it's ridiculous.,negative,negative
307,As far as good and liking it.,negative,positive
308,Nice,positive,positive
309,gd,positive,positive
310,Please unban my tiktok account My username (miansohail456),negative,negative
311,Really good but for some reason I get the updates later than everyone else,neutral,positive
312,I reallyenjoy this apps..,positive,positive
313,"If you like cringeworthy and controversial content, go ahead and download this, otherwise, don't waste your time. :)",negative,negative
314,App is taking long to install,negative,negative
315,My account was ban For the last one year and I unable to login with my account so please 🥺 unban my account... Email: muneebmoin5 please If Soo sorry again I can't upload any gitch video.... If you Will helping me i edit my review with 5 Stars Thanks,negative,negative
316,Check my account Check my follower virus and I can't find Views or Lux or follower virus,negative,negative
317,THE DRAFTS BUTTON IS SO SMALL,negative,negative
318,I love this app,positive,positive
319,"This application is really nice, but I have a issue with it, the app is installed on my phone, but I can't find the app among my apps, I have to go to Play Store for me to be able to access the app. It's really annoying 😔😔",neutral,neutral
320,It's so nice 😩,positive,positive
321,Bailu Ftuitr Gy88urr Vikram f,neutral,negative
322,This app is really great i like it no am in love with it,positive,negative
323,Nice app,negative,positive
324,Please My acount unfreez,negative,negative
325,"Originally perfect but the past few months, as I'm editing the video, it buffers until I post it. Literally everything else works on my phone. Tried restarting, uninstalling, checking my connection... nothing. Now today I have this update where my ""inbox"" now makes me go through two extra steps just to check new likes and follows. What was wrong with the other way?",neutral,neutral
326,Special,negative,positive
327,Love you,negative,positive
328,Nice,positive,positive
329,"Tiktok is a good app but there are so many people who are using it in a wrong way. There's a lot of people who are using it to spread false/misleading informations. I hope TikTok can put more effort in fact-checking, especially that nowadays, people will believe anything that they will see without putting any efforts in researching if what they saw is fake or not. No hate intended by the way! ❤️",negative,neutral
330,Op,negative,negative
331,Good,positive,positive
332,Why tiktok remove favorite videos feature,negative,negative
333,Newest phone on the market can't use 99% of filters in the app.,negative,negative
334,Don't like it that much,negative,negative
335,Its so buetifull,negative,positive
336,Why the video keeps playing forever? The screen never sleeps even after hours stuck playing the same video. If i sleep with tiktok on I always wake up to a dead phone because tiktok drained the battery.,negative,negative
337,"Is a good app, but, sometimes you get recommended videos you clearly stated you are not interested in and sometimes the bans and reports don't make sense, pedophiles, racist, homophobic people stay on the app but creators that are nice get banned the new update is horrible, it's become harder for the small, new creators , artists and cosplayers to get on the fyp, get your azz together tik tok",negative,negative
338,I love tiktok,negative,positive
339,For you all video please,positive,neutral
340,Not the best,neutral,negative
341,Nice,positive,positive
342,"Tiktok needs to improve, 1. History to see the things or pages we viewed. 2. Link videos properly especially the ones with short episodes.",positive,neutral
343,Notification tab ugly af🤢,negative,negative
344,So good app I like this App Tik Tok so beautiful app please famous me viral video my,positive,positive
345,nice 🥰,positive,positive
346,"""Crop?"" ""Here's the recipe for"" ""Story time?""",negative,negative
347,"I have not been able to use the app since last year, I tried deleting it and downloading it over again but still there's no change, everytime I open it, it just closes it self in like 2 seconds",negative,negative
348,I give one star because if you post to March videos it will ban you,negative,negative
349,I made a friend :D,positive,positive
350,"i have enjoyed tik tok for a few years now, really enjoying it, but recently i got banned, and I hadn't posted or even commented on anything, so I'm wondering what and why,,unacceptable banning for no reason,unknowable banning, basically I got banned for watching the vids they show, what is that?",negative,neutral
351,Khankhan 001,positive,negative
352,Sir i have 2000 followers and i am posting my best videos but the views are not coming more than ten or none of my videos are going viral plz fix it,negative,negative
353,nice app,positive,positive
354,Best,positive,positive
355,Very left biased. Ban me often for sharing mainstream news!,neutral,negative
356,Viki khan Lofar,positive,negative
357,I enjoy this app,positive,positive
358,I love this app but didn't view reach i am soo glad about it . I give 3 star 🌟,neutral,neutral
359,শর্টকাটে দারুন মজা।,neutral,negative
360,Brain damage,negative,negative
361,Best,negative,positive
362,Amazing and you can watch videos that are 5 seconds to 3 minutes and you can make your own I love it,positive,positive
363,It's a good jop,positive,positive
364,😎😎😎😎,negative,positive
365,Hafeez jaan,positive,negative
366,Tariq ali abbasi 0321,negative,positive
367,Very good,positive,positive
368,Very good app,neutral,positive
369,Foryou video,positive,positive
370,Shivdayalsah45,negative,neutral
371,Nice❤️❤️❤️❤️,positive,positive
372,Great app,positive,positive
373,My live option off,negative,negative
374,Excellent quality,negative,positive
375,My TikTok issues plzz tell me about Daliy screen time passcode tell me,negative,negative
376,Nice,positive,positive
377,"I will give 5 stars on the day the tik tok goes viral, not before. Besides, I like this app very much.",negative,neutral
378,Not 😞,neutral,negative
379,i cant rlly i cant🤣🤣🤣🤣🤣,negative,negative
380,Nice 👍,positive,positive
381,"The new update Irritates me I hate how I've just been scrolling for 30 minutes and every single video was ""people you may know"" when I get on tiktok I don't want to see the girls from my school that peaked in high school trying to dance. And I dislike where thr notifications were out I liked how it was before.",negative,negative
382,It amazing,negative,positive
383,The only problem with your app m People out races Arnel,negative,negative
384,Foryou app,negative,positive
385,Best Online Watching vedio😍,positive,positive
386,Better than nothing,negative,positive
387,Good app,positive,positive
388,Asad Asaddj,negative,positive
389,Hi TikTok Taem Please Vairal Account I Am New User #king_qurban_786,negative,positive
390,Nc,neutral,positive
391,fak dis cring,negative,negative
392,Horrible privacy,negative,negative
393,Nice app❤️😝,positive,positive
394,destroys lives,negative,negative
395,This app should be banned from Google play Chinese bs helping Russia,negative,negative
396,😘love you tiktok,positive,negative
397,exilent app,positive,negative
398,just id he bani v na video ko koi view ata na comment main kisi ki video ko like kron to hota he nhi na he koi meri video ko like kra to show hota,negative,negative
399,This app really helps pass the time if you're looking for ya,neutral,neutral
400,"boze no po co robicie ciagle te glupie aktualizacje, nikomu to sie nie podoba naprawde",negative,negative
401,Almost 80% people cotant in tiktok is ching,negative,positive
402,850mm The other 8⁹86yyy6vx4y6yc,negative,positive
403,"The new inbox update sucks so much, and why are there stories now? Like why do we need them?",negative,negative
404,It's bad for your brain,negative,negative
405,First time here though,negative,neutral
406,"Worst app ever, the things people can post is crazy this app will end the world.",negative,negative
407,They will ban autistic creators for talking about autism but won't ban white supremacists spewing hate on their accounts. Do better TicTok.,negative,negative
408,good👌,neutral,positive
409,Perfect💯👍👏,positive,positive
410,"It's fine, but it would be great if they translated reported content, someone was sending death threats to women and lgbtq+ in a different language so tiktok didn't do anything to stop them, even their username is a curse word. Please change this Edit: lmao it wasn't a curse word it was a racial slur",negative,neutral
411,Foryou trick,negative,positive
412,Pary laijas apk..,negative,negative
413,This is very important app in play store we can esey time,negative,positive
414,This app is so addictive it is so fun❤️❤️❤️❤️😘😘😘💃,positive,positive
415,Gift Jrgjj @ gmail dotavim,negative,positive
416,Its Entertaining and thrilled,positive,positive
417,"i still don't have ""repost"" feature",negative,negative
418,Hey babe,positive,negative
419,Calaa,neutral,positive
420,Too busy,neutral,negative
421,"We need to start recording audio while texting our friends,provide that",neutral,negative
422,I like this app,negative,positive
423,❤️,negative,positive
424,Very nice using this app,negative,positive
425,It's a really great app but what's really bad about it is if you like too many videos it stops you from liking them but it gives you content based on previous videos I liked,neutral,neutral
426,This app is a zombie manifestation of human creativity.,negative,negative
427,No freedom of speech get suspended but there are half naked chicks on here and people talking about being communist tiktok is a joke,negative,negative
428,Fantisulistic,positive,positive
429,I gave u 5 stars because I get to watch funny skits and videos,positive,positive
430,Hi Tik Tok,positive,negative
431,Very good,positive,positive
432,I love tiktok so much because I love dancing and I actually learn some cool trends,negative,positive
433,JAHANGIR KAHAN,negative,negative
434,This app is the best,positive,positive
435,"Like that I can make comments,and even learn new things,and seeing the diversity of people",positive,positive
436,delete it for your own safety,negative,negative
437,I like the app and all but there are alot of mean people but so far it is ok.,negative,neutral
438,TikTok you don't stop TikTok we don't quit,positive,positive
439,I got band so I gev it 2,negative,neutral
440,Way 2 addictive,negative,negative
441,They don't have 10 min recording option for me even tho I got the notification via acct updates tab. Liars.,negative,negative
442,Unique,negative,positive
443,Veeron Ka Veer shahzada Tanveer,negative,positive
444,Very nice app 👌,positive,positive
445,"It's good overall but there should be a search feature for liked videos, you can search up a keyword and it shows the results",negative,neutral
446,impressive app,positive,positive
447,Nc,negative,positive
448,àa123456,negative,negative
449,Good 👍,positive,positive
450,I like I got 100 followers,positive,positive
451,Very good and excellent I love this titok app so much and l love to have it and install it to my phone 📱,positive,positive
452,Good Apps,positive,positive
453,Ayazkhan,positive,negative
454,To menny updates,neutral,negative
455,See.,negative,positive
456,This is the best app out all my apps,positive,positive
457,Zain,positive,negative
458,Please vairal my account,negative,positive
459,Very bad app spreading vulgarity,negative,negative
460,1 year,negative,negative
461,This app is hard to download from the playstore,negative,negative
462,denishit8,positive,negative
463,Fsghod tcgh,negative,negative
464,Fanazn,negative,positive
465,Melini Lslsks k,negative,negative
466,I hate updates donts do updates😠 wtffffffff with this app,negative,negative
467,"This app used to be much higher for me, and it still would be, but I just got the bar none best phone I've ever owned, and now almost no filters work. They work on Instagram. They work on Snap. But TT still ain't updated their app. So, less stars.",negative,neutral
468,Good app,negative,positive
469,Sirf 1,negative,negative
470,Good,neutral,positive
471,Good app,positive,positive
472,Strander,negative,negative
473,It's just good,positive,positive
474,Too many videos of violence against animals,negative,negative
475,আমি থাকি নাওড়ি আমার নাম নিলয়,positive,negative
476,Horrible app I had over 900 drafts and whenever I try to open my drafts the whole app crashes and resets it doesn't even let me open them,negative,negative
477,Vibez,neutral,positive
478,Nice app ❤️❤️,positive,positive
479,Poorna DilShan,positive,negative
480,Can be better no good,negative,positive
481,The issue I was having with the app is fixed! Still a great app for pretty obvious reasons,positive,neutral
482,I'm not commented pls solve my probelem,negative,positive
483,"My original review got deleted for some reason; TikTok banned my account with no explanation for a claimed violation of ""community guidelines."" I suspect that no evidence was actually examined, and certainly no effort was made to explain the cause of the ban. My appeal received no response. Welcome to the future of social media.",negative,negative
484,That is a great app,negative,positive
485,Super,positive,positive
486,It fun but weird things sometimes,neutral,neutral
487,♥️🔥very nice status,negative,positive
488,It's boring,negative,negative
489,Dear tiktok team any reason my account is banned so please view my profile and unbanned my account thank you❤,positive,negative
490,entertainment,positive,positive
491,tik tok nice,positive,positive
492,"The comments are giving me a headache especially the ""you don't have this emoji"" ""Crop"" ""storytime?"" AAAHHH IM STRESSINGGGG AND IM ADDICTED TO READING COMMENTS AND THOSE ARE NOT THE ONES I WANT TO SEE gonna cry frfr",neutral,negative
493,Just incountered my first unswipeable ad. So that where this is going.,negative,negative
494,Worst app,negative,negative
